"Geslacht";"Positie in de werkkring";"Persoonskenmerken";"Thuiswerken";"Perioden";"Werkzame beroepsbevolking (x 1 000)"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Totaal";"2021";"    1949"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Totaal";"2022";"    1994"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Totaal";"2023";"    2031"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Meestal of soms thuiswerken";"2021";"    1158"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Meestal of soms thuiswerken";"2022";"    1143"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Meestal of soms thuiswerken";"2023";"    1144"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Meestal thuiswerken";"2021";"     461"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Meestal thuiswerken";"2022";"     336"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Meestal thuiswerken";"2023";"     258"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Soms thuiswerken";"2021";"     697"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Soms thuiswerken";"2022";"     807"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Soms thuiswerken";"2023";"     886"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Niet thuiswerken";"2021";"     791"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Niet thuiswerken";"2022";"     851"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 25 tot 35 jaar";"Niet thuiswerken";"2023";"     887"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Totaal";"2021";"    1779"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Totaal";"2022";"    1846"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Totaal";"2023";"    1896"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Meestal of soms thuiswerken";"2021";"    1152"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Meestal of soms thuiswerken";"2022";"    1180"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Meestal of soms thuiswerken";"2023";"    1202"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Meestal thuiswerken";"2021";"     420"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Meestal thuiswerken";"2022";"     338"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Meestal thuiswerken";"2023";"     274"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Soms thuiswerken";"2021";"     732"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Soms thuiswerken";"2022";"     842"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Soms thuiswerken";"2023";"     928"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Niet thuiswerken";"2021";"     627"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Niet thuiswerken";"2022";"     666"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 35 tot 45 jaar";"Niet thuiswerken";"2023";"     694"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Totaal";"2021";"    2020"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Totaal";"2022";"    2007"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Totaal";"2023";"    1976"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Meestal of soms thuiswerken";"2021";"    1248"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Meestal of soms thuiswerken";"2022";"    1247"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Meestal of soms thuiswerken";"2023";"    1215"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Meestal thuiswerken";"2021";"     459"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Meestal thuiswerken";"2022";"     349"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Meestal thuiswerken";"2023";"     302"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Soms thuiswerken";"2021";"     789"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Soms thuiswerken";"2022";"     898"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Soms thuiswerken";"2023";"     913"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Niet thuiswerken";"2021";"     773"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Niet thuiswerken";"2022";"     760"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 45 tot 55 jaar";"Niet thuiswerken";"2023";"     761"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Totaal";"2021";"    1704"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Totaal";"2022";"    1768"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Totaal";"2023";"    1819"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Meestal of soms thuiswerken";"2021";"     965"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Meestal of soms thuiswerken";"2022";"    1005"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Meestal of soms thuiswerken";"2023";"    1004"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Meestal thuiswerken";"2021";"     350"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Meestal thuiswerken";"2022";"     318"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Meestal thuiswerken";"2023";"     275"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Soms thuiswerken";"2021";"     615"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Soms thuiswerken";"2022";"     687"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Soms thuiswerken";"2023";"     730"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Niet thuiswerken";"2021";"     739"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Niet thuiswerken";"2022";"     763"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 55 tot 65 jaar";"Niet thuiswerken";"2023";"     815"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Totaal";"2021";"     284"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Totaal";"2022";"     312"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Totaal";"2023";"     357"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Meestal of soms thuiswerken";"2021";"     164"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Meestal of soms thuiswerken";"2022";"     179"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Meestal of soms thuiswerken";"2023";"     192"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Meestal thuiswerken";"2021";"      87"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Meestal thuiswerken";"2022";"      94"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Meestal thuiswerken";"2023";"      93"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Soms thuiswerken";"2021";"      77"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Soms thuiswerken";"2022";"      85"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Soms thuiswerken";"2023";"     100"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Niet thuiswerken";"2021";"     119"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Niet thuiswerken";"2022";"     133"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 65 tot 75 jaar";"Niet thuiswerken";"2023";"     164"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Totaal";"2021";"    1786"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Totaal";"2022";"    1847"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Totaal";"2023";"    1959"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Meestal of soms thuiswerken";"2021";"     374"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Meestal of soms thuiswerken";"2022";"     384"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Meestal of soms thuiswerken";"2023";"     392"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Meestal thuiswerken";"2021";"     150"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Meestal thuiswerken";"2022";"     141"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Meestal thuiswerken";"2023";"     127"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Soms thuiswerken";"2021";"     224"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Soms thuiswerken";"2022";"     243"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Soms thuiswerken";"2023";"     265"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Niet thuiswerken";"2021";"    1412"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Niet thuiswerken";"2022";"    1463"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 1 Laag";"Niet thuiswerken";"2023";"    1568"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Totaal";"2021";"    3631"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Totaal";"2022";"    3665"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Totaal";"2023";"    3720"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Meestal of soms thuiswerken";"2021";"    1542"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Meestal of soms thuiswerken";"2022";"    1491"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Meestal of soms thuiswerken";"2023";"    1480"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Meestal thuiswerken";"2021";"     528"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Meestal thuiswerken";"2022";"     428"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Meestal thuiswerken";"2023";"     386"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Soms thuiswerken";"2021";"    1013"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Soms thuiswerken";"2022";"    1063"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Soms thuiswerken";"2023";"    1094"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Niet thuiswerken";"2021";"    2089"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Niet thuiswerken";"2022";"    2174"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 2 Middelbaar";"Niet thuiswerken";"2023";"    2239"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Totaal";"2021";"    3779"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Totaal";"2022";"    3984"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Totaal";"2023";"    4007"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Meestal of soms thuiswerken";"2021";"    3062"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Meestal of soms thuiswerken";"2022";"    3180"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Meestal of soms thuiswerken";"2023";"    3173"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Meestal thuiswerken";"2021";"    1229"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Meestal thuiswerken";"2022";"     955"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Meestal thuiswerken";"2023";"     765"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Soms thuiswerken";"2021";"    1833"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Soms thuiswerken";"2022";"    2226"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Soms thuiswerken";"2023";"    2408"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Niet thuiswerken";"2021";"     717"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Niet thuiswerken";"2022";"     804"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: 3 Hoog";"Niet thuiswerken";"2023";"     834"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Totaal";"2021";"      59"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Totaal";"2022";"      52"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Totaal";"2023";"      51"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Meestal of soms thuiswerken";"2021";"      18"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Meestal of soms thuiswerken";"2022";"      14"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Meestal of soms thuiswerken";"2023";"      13"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Meestal thuiswerken";"2021";"       8"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Meestal thuiswerken";"2022";"       7"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Meestal thuiswerken";"2023";"       4"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Soms thuiswerken";"2021";"      10"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Soms thuiswerken";"2022";"       7"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Soms thuiswerken";"2023";"       9"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Niet thuiswerken";"2021";"      41"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Niet thuiswerken";"2022";"      39"
"Totaal mannen en vrouwen";"Totaal";"Onderwijsniveau: weet niet of onbekend";"Niet thuiswerken";"2023";"      37"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Totaal";"2021";"    4455"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Totaal";"2022";"    4563"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Totaal";"2023";"    4673"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Meestal of soms thuiswerken";"2021";"    1901"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Meestal of soms thuiswerken";"2022";"    1917"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Meestal of soms thuiswerken";"2023";"    1910"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Meestal thuiswerken";"2021";"     749"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Meestal thuiswerken";"2022";"     615"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Meestal thuiswerken";"2023";"     511"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Soms thuiswerken";"2021";"    1152"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Soms thuiswerken";"2022";"    1301"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Soms thuiswerken";"2023";"    1399"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Niet thuiswerken";"2021";"    2554"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Niet thuiswerken";"2022";"    2647"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: deeltijd";"Niet thuiswerken";"2023";"    2763"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Totaal";"2021";"     829"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Totaal";"2022";"     815"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Totaal";"2023";"     824"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Meestal of soms thuiswerken";"2021";"     192"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Meestal of soms thuiswerken";"2022";"     189"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Meestal of soms thuiswerken";"2023";"     184"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Meestal thuiswerken";"2021";"     111"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Meestal thuiswerken";"2022";"     110"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Meestal thuiswerken";"2023";"      97"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Soms thuiswerken";"2021";"      81"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Soms thuiswerken";"2022";"      79"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Soms thuiswerken";"2023";"      87"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Niet thuiswerken";"2021";"     636"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Niet thuiswerken";"2022";"     626"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"Niet thuiswerken";"2023";"     640"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Totaal";"2021";"    1563"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Totaal";"2022";"    1550"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Totaal";"2023";"    1563"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Meestal of soms thuiswerken";"2021";"     393"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Meestal of soms thuiswerken";"2022";"     371"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Meestal of soms thuiswerken";"2023";"     357"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Meestal thuiswerken";"2021";"     192"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Meestal thuiswerken";"2022";"     173"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Meestal thuiswerken";"2023";"     161"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Soms thuiswerken";"2021";"     201"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Soms thuiswerken";"2022";"     198"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Soms thuiswerken";"2023";"     196"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Niet thuiswerken";"2021";"    1170"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Niet thuiswerken";"2022";"    1179"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"Niet thuiswerken";"2023";"    1206"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Totaal";"2021";"     735"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Totaal";"2022";"     735"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Totaal";"2023";"     738"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Meestal of soms thuiswerken";"2021";"     201"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Meestal of soms thuiswerken";"2022";"     182"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Meestal of soms thuiswerken";"2023";"     173"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Meestal thuiswerken";"2021";"      81"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Meestal thuiswerken";"2022";"      62"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Meestal thuiswerken";"2023";"      64"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Soms thuiswerken";"2021";"     120"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Soms thuiswerken";"2022";"     120"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Soms thuiswerken";"2023";"     109"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Niet thuiswerken";"2021";"     534"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Niet thuiswerken";"2022";"     553"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"Niet thuiswerken";"2023";"     566"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"Totaal";"2021";"    2892"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"Totaal";"2022";"    3013"
"Totaal mannen en vrouwen";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"Totaal";"2023";"    3110"
