"Geslacht";"Thuiswerker";"Positie werkkring";"Persoonskenmerken";"Perioden";"Werkzame beroepsbevolking (x 1 000)"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2015";"    1665"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2016";"    1638"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2017";"    1622"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2018";"    1617"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2019";"    1649"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2020";"    1636"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2013";"     689"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2014";"     665"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2015";"     679"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2016";"     692"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2017";"     676"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2018";"     676"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2019";"     704"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 12 tot 20 uur per week";"2020";"     661"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2013";"    2368"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2014";"    2351"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2015";"    2376"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2016";"    2453"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2017";"    2537"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2018";"    2673"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2019";"    2746"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: 20 tot 35 uur per week";"2020";"    2830"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2013";"    4240"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2014";"    4223"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2015";"    4253"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2016";"    4313"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2017";"    4420"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2018";"    4484"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2019";"    4558"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: voltijd";"2020";"    4485"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2013";"    1797"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2014";"    1738"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2015";"    1750"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2016";"    1712"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2017";"    1683"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2018";"    1751"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2019";"    1705"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 1 laag";"2020";"    1578"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2013";"    3478"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2014";"    3444"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2015";"    3405"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2016";"    3464"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2017";"    3522"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2018";"    3509"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2019";"    3596"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 2 middelbaar ";"2020";"    3461"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2013";"    2883"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2014";"    2978"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2015";"    3076"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2016";"    3136"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2017";"    3284"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2018";"    3426"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2019";"    3547"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: 3 hoog";"2020";"    3812"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2013";"     109"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2014";"      55"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2015";"      62"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2016";"      91"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2017";"      91"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2018";"      89"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2019";"     104"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijsniveau: weet niet of onbekend";"2020";"     101"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2013";"    1225"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2014";"    1202"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2015";"    1245"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2016";"    1256"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2017";"    1300"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2018";"    1343"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2019";"    1381"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 15 tot 25 jaar";"2020";"    1328"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2013";"    3570"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2014";"    3502"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2015";"    3469"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2016";"    3479"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2017";"    3510"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2018";"    3568"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2019";"    3617"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 45 jaar";"2020";"    3640"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2013";"    1683"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2014";"    1681"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2015";"    1704"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2016";"    1736"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2017";"    1789"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2018";"    1847"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2019";"    1880"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 25 tot 35 jaar";"2020";"    1908"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2013";"    1886"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2014";"    1821"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2015";"    1765"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2016";"    1743"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2017";"    1721"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2018";"    1721"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2019";"    1737"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 35 tot 45 jaar";"2020";"    1732"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2013";"    2034"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2014";"    2028"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2015";"    2054"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2016";"    2083"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2017";"    2076"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2018";"    2087"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2019";"    2080"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 55 jaar";"2020";"    2030"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2013";"    3471"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2014";"    3510"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2015";"    3580"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2016";"    3668"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2017";"    3769"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2018";"    3863"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2019";"    3955"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 45 tot 75 jaar";"2020";"    3984"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2013";"    1275"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2014";"    1299"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2015";"    1356"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2016";"    1409"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2017";"    1484"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2018";"    1548"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2019";"    1611"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 55 tot 65 jaar";"2020";"    1679"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2013";"     162"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2014";"     182"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2015";"     171"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2016";"     176"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2017";"     208"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2018";"     228"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2019";"     264"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Leeftijd: 65 tot 75 jaar";"2020";"     274"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2013";"    1238"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2014";"    1260"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2015";"    1220"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2016";"    1304"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2017";"    1323"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2018";"    1360"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2019";"    1408"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: alleenstaande";"2020";"    1398"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2013";"    3665"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2014";"    3658"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2015";"    3663"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2016";"    3697"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2017";"    3730"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2018";"    3744"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2019";"    3794"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder";"2020";"    3849"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2013";"     296"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2014";"     279"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2015";"     277"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2016";"     299"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2017";"     297"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2018";"     321"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2019";"     321"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: ouder in éénouderhuishouden";"2020";"     335"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2013";"    5557"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2014";"    5495"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2015";"    5564"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2016";"    5548"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2017";"    5647"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2018";"    5675"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2019";"    5775"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar";"2020";"    5783"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2013";"    3369"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2014";"    3379"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2015";"    3386"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2016";"    3398"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2017";"    3433"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2018";"    3423"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2019";"    3473"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar met kind";"2020";"    3514"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2013";"    2188"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2014";"    2116"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2015";"    2178"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2016";"    2150"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2017";"    2214"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2018";"    2251"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2019";"    2302"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: partner in paar, geen kind";"2020";"    2270"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2013";"    1018"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2014";"    1020"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2015";"    1064"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2016";"    1086"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2017";"    1127"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2018";"    1197"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2019";"    1221"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind";"2020";"    1239"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2013";"     763"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2014";"     762"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2015";"     795"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2016";"     801"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2017";"     818"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2018";"     877"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2019";"     894"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind >= 18 jaar";"2020";"     931"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2013";"     255"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2014";"     258"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2015";"     270"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2016";"     285"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2017";"     309"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2018";"     320"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2019";"     327"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: kind < 18 jaar";"2020";"     309"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2013";"     157"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2014";"     160"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2015";"     169"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2016";"     166"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2017";"     185"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2018";"     222"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2019";"     227"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Positie: overig lid";"2020";"     195"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2013";"    2848"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2014";"    2889"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2015";"    2978"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2016";"    3023"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2017";"    3148"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2018";"    3254"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2019";"    3500"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Totaal personen";"2020";"    3674"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2013";"    1079"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2014";"    1114"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2015";"    1140"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2016";"    1160"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2017";"    1208"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2018";"    1249"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2019";"    1381"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: deeltijd";"2020";"    1483"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2013";"     146"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2014";"     151"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2015";"     172"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2016";"     145"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2017";"     146"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2018";"     141"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2019";"     171"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2020";"     170"
"Totaal mannen en vrouwen";"Thuiswerker";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2013";"     284"
