Geslacht;Leeftijd;Vervoerwijzen;Reismotieven;Marges;Perioden;Ritten per persoon per dag (gemiddeld) (aantal);Afgelegde afstand per rit (gemiddeld) (km);Reisduur per rit (Minuten)
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.30;    6.91;   17.91
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.30;    6.94;   17.84
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.29;    7.29;   18.38
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.28;    7.28;   18.58
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.17;    6.73;   18.39
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.17;    6.66;   18.53
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.22;    7.01;   19.13
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.23;    7.16;   19.41
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;1999*;    1.19;   12.42;   31.37
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2003*;    1.15;   12.66;   31.60
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2007*;    1.10;   12.67;   32.03
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2011*;    1.05;   12.93;   32.10
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2015*;    1.07;   13.16;   32.70
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2019*;    1.05;   13.50;   32.59
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2020*;    0.93;   10.99;   36.22
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2021*;    1.03;   11.49;   38.55
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2022*;    1.11;   11.54;   34.86
Totaal mannen en vrouwen;Totaal;Totaal;Vrije tijd;Waarde;2023*;    1.12;   11.91;   33.59
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;1999*;    0.59;   13.76;   21.22
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2003*;    0.58;   13.11;   20.52
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2007*;    0.54;   12.11;   20.19
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2011*;    0.51;   12.20;   19.96
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2015*;    0.45;   11.91;   19.68
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2019*;    0.45;   11.87;   19.57
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2020*;    0.40;   10.22;   17.72
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2021*;    0.44;   10.32;   18.40
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2022*;    0.46;   10.18;   18.54
Totaal mannen en vrouwen;Totaal;Totaal;Overige reismotieven;Waarde;2023*;    0.46;   10.67;   18.86
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;1999*;    1.06;   16.16;   23.91
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2003*;    1.04;   16.56;   24.01
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2007*;    1.01;   17.06;   24.44
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2011*;    0.97;   17.73;   24.73
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2015*;    0.95;   18.04;   24.84
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2019*;    0.94;   18.59;   25.00
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2020*;    0.79;   16.03;   22.53
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2021*;    0.81;   16.78;   23.57
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2022*;    0.86;   17.22;   24.11
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Totaal;Waarde;2023*;    0.90;   17.46;   24.36
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;1999*;    0.23;   20.62;   28.76
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2003*;    0.24;   21.21;   29.03
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2007*;    0.26;   22.41;   29.76
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2011*;    0.26;   23.27;   29.95
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2015*;    0.25;   24.23;   30.14
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2019*;    0.25;   24.99;   30.38
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2020*;    0.19;   22.18;   27.25
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2021*;    0.19;   22.90;   27.96
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2022*;    0.21;   24.08;   29.49
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Van en naar het werk;Waarde;2023*;    0.22;   24.44;   30.33
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;1999*;    0.23;    6.94;   14.57
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2003*;    0.23;    7.13;   14.53
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2007*;    0.22;    7.30;   14.59
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2011*;    0.20;    7.53;   14.70
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2015*;    0.21;    7.51;   14.79
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2019*;    0.20;    7.78;   14.86
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2020*;    0.20;    6.70;   13.02
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2021*;    0.20;    6.97;   13.64
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2022*;    0.20;    7.30;   14.18
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2023*;    0.20;    7.52;   14.61
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.02;   21.61;   25.68
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.02;   22.70;   27.48
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.02;   23.51;   29.07
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.02;   24.37;   30.68
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.02;   25.26;   32.08
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.01;   26.09;   33.31
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.01;   26.44;   33.54
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.01;   26.89;   33.62
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.01;   26.63;   34.24
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.01;   26.57;   34.81
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;1999*;    0.31;   18.15;   27.90
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2003*;    0.30;   19.00;   28.24
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2007*;    0.27;   19.96;   28.71
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2011*;    0.26;   20.76;   29.05
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2015*;    0.26;   21.44;   29.36
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2019*;    0.26;   22.07;   29.47
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2020*;    0.20;   20.62;   29.53
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2021*;    0.21;   22.18;   31.50
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2022*;    0.23;   21.36;   29.94
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Vrije tijd;Waarde;2023*;    0.25;   21.13;   29.21
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;1999*;    0.26;   17.63;   23.07
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2003*;    0.26;   17.52;   22.83
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2007*;    0.25;   16.43;   22.55
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2011*;    0.23;   16.63;   22.45
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2015*;    0.21;   16.07;   22.08
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2019*;    0.21;   16.31;   22.08
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2020*;    0.19;   14.36;   19.91
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2021*;    0.20;   14.66;   20.63
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2022*;    0.21;   14.72;   21.13
Totaal mannen en vrouwen;Totaal;Auto (bestuurder);Overige reismotieven;Waarde;2023*;    0.21;   15.06;   21.39
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;1999*;    0.48;   19.04;   28.42
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2003*;    0.44;   19.27;   28.09
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2007*;    0.40;   19.27;   27.93
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2011*;    0.36;   19.51;   27.72
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2015*;    0.34;   19.70;   27.62
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2019*;    0.32;   20.12;   27.57
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2020*;    0.25;   17.32;   25.84
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2021*;    0.27;   19.09;   28.00
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2022*;    0.29;   19.01;   27.72
Totaal mannen en vrouwen;Totaal;Auto (passagier);Totaal;Waarde;2023*;    0.31;   19.27;   27.52
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;1999*;    0.05;   21.00;   31.52
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2003*;    0.04;   20.68;   30.81
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2007*;    0.03;   21.24;   30.49
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2011*;    0.03;   21.31;   29.91
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2015*;    0.02;   21.60;   29.40
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2019*;    0.02;   21.43;   28.94
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2020*;    0.01;   17.09;   25.15
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2021*;    0.01;   18.56;   26.45
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2022*;    0.01;   20.25;   28.04
Totaal mannen en vrouwen;Totaal;Auto (passagier);Van en naar het werk;Waarde;2023*;    0.02;   20.47;   28.88
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;1999*;    0.09;    9.99;   19.11
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2003*;    0.09;   10.59;   19.14
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2007*;    0.08;   10.88;   19.20
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2011*;    0.07;   11.10;   19.27
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2015*;    0.07;   10.94;   19.28
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2019*;    0.06;   11.65;   19.34
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2020*;    0.05;    9.34;   16.82
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2021*;    0.05;   10.08;   17.87
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2022*;    0.06;   10.82;   18.62
Totaal mannen en vrouwen;Totaal;Auto (passagier);Winkelen, boodschappen doen;Waarde;2023*;    0.06;   11.31;   19.14
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.03;    8.84;   17.26
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.02;    8.87;   17.07
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.03;    8.66;   16.90
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.03;    8.62;   16.87
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.02;    8.39;   16.78
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.02;    8.11;   16.54
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.02;    7.67;   16.00
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.02;    8.23;   16.75
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.02;    8.49;   17.68
Totaal mannen en vrouwen;Totaal;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.02;    8.36;   18.00
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;1999*;    0.25;   21.47;   32.46
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2003*;    0.23;   22.28;   32.39
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2007*;    0.21;   23.26;   32.55
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2011*;    0.19;   23.82;   32.48
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2015*;    0.18;   24.57;   32.53
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2019*;    0.18;   25.03;   32.44
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2020*;    0.13;   22.27;   32.04
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2021*;    0.14;   24.70;   34.93
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2022*;    0.15;   23.97;   33.38
Totaal mannen en vrouwen;Totaal;Auto (passagier);Vrije tijd;Waarde;2023*;    0.16;   24.20;   32.65
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;1999*;    0.07;   25.15;   28.39
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2003*;    0.06;   23.41;   27.44
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2007*;    0.06;   19.79;   26.47
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2011*;    0.05;   19.58;   25.98
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2015*;    0.05;   18.72;   25.57
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2019*;    0.05;   18.76;   25.47
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2020*;    0.04;   17.01;   23.23
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2021*;    0.04;   17.54;   24.20
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2022*;    0.04;   17.10;   24.57
Totaal mannen en vrouwen;Totaal;Auto (passagier);Overige reismotieven;Waarde;2023*;    0.04;   17.35;   24.71
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;1999*;    0.07;   51.39;   50.84
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2003*;    0.07;   49.93;   50.10
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2007*;    0.07;   48.59;   49.50
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2011*;    0.07;   48.37;   49.49
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2015*;    0.08;   48.27;   49.46
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2019*;    0.08;   48.21;   49.51
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2020*;    0.04;   46.06;   48.31
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2021*;    0.04;   46.46;   49.65
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2022*;    0.05;   47.40;   50.24
Totaal mannen en vrouwen;Totaal;Trein;Totaal;Waarde;2023*;    0.07;   47.89;   50.51
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;1999*;    0.02;   42.46;   42.14
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2003*;    0.03;   42.04;   42.07
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2007*;    0.03;   41.37;   41.95
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2011*;    0.03;   41.44;   42.33
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2015*;    0.03;   41.11;   42.28
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2019*;    0.03;   41.01;   42.46
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2020*;    0.01;   38.44;   40.79
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2021*;    0.01;   37.51;   40.02
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2022*;    0.02;   40.13;   42.54
Totaal mannen en vrouwen;Totaal;Trein;Van en naar het werk;Waarde;2023*;    0.02;   41.71;   43.74
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;1999*;    0.01;   42.64;   45.17
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2003*;    0.01;   42.21;   45.30
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2007*;    0.01;   42.14;   45.73
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2011*;    0.01;   42.26;   46.41
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2015*;    0.00;   42.35;   46.38
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2019*;    0.00;   42.25;   46.89
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2020*;    0.00;   38.67;   43.51
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2021*;    0.00;   37.76;   43.50
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2022*;    0.00;   40.03;   45.58
Totaal mannen en vrouwen;Totaal;Trein;Winkelen, boodschappen doen;Waarde;2023*;    0.00;   40.96;   46.71
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.01;   38.37;   40.22
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.01;   38.38;   40.66
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.01;   38.41;   41.20
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.01;   38.74;   41.83
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.02;   38.97;   41.83
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.02;   39.06;   41.63
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.01;   36.52;   40.29
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.01;   34.76;   39.10
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.01;   36.71;   40.98
Totaal mannen en vrouwen;Totaal;Trein;Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.01;   37.89;   42.28
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;1999*;    0.02;   66.83;   68.11
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2003*;    0.02;   65.61;   66.86
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2007*;    0.02;   64.27;   65.90
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2011*;    0.02;   64.14;   65.36
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2015*;    0.02;   63.64;   64.50
